CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
-6881.445,14535.045,-6264.945,-15613.605,0.0,0.0,0.0,0.0,2
-6883.83,14524.2,-6279.39,-15629.67,0.0,0.0,0.0,0.0,2
-6905.52,14504.535,-6304.86,-15656.04,0.0,0.0,0.0,0.0,2
-6904.98,14510.07,-6302.835,-15650.955,0.0,0.0,0.0,0.0,2
-6881.445,14529.96,-6301.98,-15635.565,0.0,0.0,0.0,0.0,2
-6879.645,14528.52,-6299.505,-15638.625,0.0,0.0,0.0,0.0,2
-6875.145,14535.45,-6267.195,-15619.455,0.0,0.0,0.0,0.0,2
-6848.415,14563.62,-6226.965,-15576.345,0.0,0.0,0.0,0.0,2
-6837.345,14575.5,-6219.045,-15563.295,0.0,0.0,0.0,0.0,2
-6862.725,14539.905,-6269.895,-15613.29,0.0,0.0,0.0,0.0,2
-6892.38,14499.27,-6330.78,-15666.48,0.0,0.0,0.0,0.0,2
-6880.365,14487.435,-6359.175,-15689.205,0.0,0.0,0.0,0.0,2
-6889.5,14462.28,-6382.89,-15713.1,0.0,0.0,0.0,0.0,2
-6910.02,14475.915,-6347.43,-15685.515,0.0,0.0,0.0,0.0,2
-6927.615,14495.445,-6329.025,-15661.305,0.0,0.0,0.0,0.0,2
-6937.65,14510.385,-6302.745,-15636.24,0.0,0.0,0.0,0.0,2
-6902.685,14513.355,-6309.945,-15654.555,0.0,0.0,0.0,0.0,2
-6908.58,14509.8,-6296.58,-15654.645,0.0,0.0,0.0,0.0,2
-6919.605,14502.06,-6301.44,-15656.4,0.0,0.0,0.0,0.0,2
-6907.23,14516.01,-6289.83,-15642.225,0.0,0.0,0.0,0.0,2
-6899.085,14528.97,-6275.34,-15627.195,0.0,0.0,0.0,0.0,2
-6885.585,14532.12,-6274.305,-15606.99,0.0,0.0,0.0,0.0,2
-6893.28,14509.44,-6320.52,-15610.95,0.0,0.0,0.0,0.0,2
-6904.53,14489.82,-6359.49,-15625.305,0.0,0.0,0.0,0.0,2
-6914.205,14485.095,-6319.035,-15618.51,0.0,0.0,0.0,0.0,2
-6908.175,14499.36,-6306.705,-15636.33,0.0,0.0,0.0,0.0,2
-6891.975,14521.23,-6309.36,-15663.105,0.0,0.0,0.0,0.0,2
-6890.85,14506.155,-6323.04,-15692.22,0.0,0.0,0.0,0.0,2
-6894.18,14493.105,-6342.165,-15665.67,0.0,0.0,0.0,0.0,2
-6872.49,14500.485,-6352.74,-15661.575,0.0,0.0,0.0,0.0,2
-6840.81,14519.52,-6310.71,-15646.905,0.0,0.0,0.0,0.0,2
-6846.615,14523.93,-6279.615,-15634.215,0.0,0.0,0.0,0.0,2
-6917.31,14515.02,-6253.38,-15595.74,0.0,0.0,0.0,0.0,2
-6931.125,14482.575,-6332.805,-15616.125,0.0,0.0,0.0,0.0,2
-6915.735,14474.88,-6375.42,-15640.065,0.0,0.0,0.0,0.0,2
-6923.025,14490.72,-6321.465,-15645.915,0.0,0.0,0.0,0.0,2
-6910.47,14518.44,-6282.72,-15649.605,0.0,0.0,0.0,0.0,2
-6895.08,14529.285,-6271.695,-15660.045,0.0,0.0,0.0,0.0,2
-6903.09,14526.72,-6262.155,-15657.12,0.0,0.0,0.0,0.0,2
-6903.99,14522.085,-6266.295,-15631.11,0.0,0.0,0.0,0.0,2
-6895.395,14521.77,-6269.13,-15624.135,0.0,0.0,0.0,0.0,2
-6888.195,14522.715,-6276.645,-15640.605,0.0,0.0,0.0,0.0,2
-6884.73,14521.77,-6284.565,-15643.98,0.0,0.0,0.0,0.0,2
-6901.965,14521.95,-6297.12,-15636.15,0.0,0.0,0.0,0.0,2
-6907.995,14518.485,-6296.85,-15644.16,0.0,0.0,0.0,0.0,2
-6892.29,14524.245,-6279.795,-15644.61,0.0,0.0,0.0,0.0,2
-6883.47,14532.3,-6268.14,-15625.035,0.0,0.0,0.0,0.0,2
-6879.105,14531.76,-6276.69,-15621.93,0.0,0.0,0.0,0.0,2
-6867.495,14533.47,-6283.26,-15627.555,0.0,0.0,0.0,0.0,2
-6871.23,14537.07,-6276.69,-15618.105,0.0,0.0,0.0,0.0,2
-6881.085,14536.35,-6277.905,-15621.615,0.0,0.0,0.0,0.0,2
-6906.87,14525.235,-6280.785,-15624.81,0.0,0.0,0.0,0.0,2
-6912.18,14521.005,-6285.69,-15632.685,0.0,0.0,0.0,0.0,2
-6885.72,14531.22,-6275.745,-15620.265,0.0,0.0,0.0,0.0,2
-6865.83,14538.285,-6274.89,-15614.955,0.0,0.0,0.0,0.0,2
-6893.415,14508.18,-6309.045,-15643.53,0.0,0.0,0.0,0.0,2
-6914.115,14495.4,-6321.555,-15655.815,0.0,0.0,0.0,0.0,2
-6932.115,14484.645,-6328.665,-15666.39,0.0,0.0,0.0,0.0,2
-6907.14,14510.475,-6303.645,-15651.315,0.0,0.0,0.0,0.0,2
-6868.755,14557.005,-6248.52,-15593.04,0.0,0.0,0.0,0.0,2
