CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Target
-42376.545,33127.245,-34132.005,-21102.3,0.0,0.0,0.0,0.0,1
-42391.215,33130.71,-34118.145,-21096.63,0.0,0.0,0.0,0.0,1
-42417.9,33136.29,-34114.995,-21096.405,0.0,0.0,0.0,0.0,1
-42403.14,33140.745,-34110.675,-21087.18,0.0,0.0,0.0,0.0,1
-42362.685,33144.525,-34128.675,-21102.165,0.0,0.0,0.0,0.0,1
-42338.115,33148.485,-34141.995,-21116.115,0.0,0.0,0.0,0.0,1
-42346.845,33153.345,-34137.495,-21118.455,0.0,0.0,0.0,0.0,1
-42348.87,33153.075,-34123.59,-21110.94,0.0,0.0,0.0,0.0,1
-42371.91,33156.405,-34092.72,-21072.69,0.0,0.0,0.0,0.0,1
-42392.385,33160.545,-34112.385,-21082.005,0.0,0.0,0.0,0.0,1
-42388.56,33166.935,-34149.375,-21122.595,0.0,0.0,0.0,0.0,1
-42400.755,33173.37,-34145.145,-21119.355,0.0,0.0,0.0,0.0,1
-42428.43,33180.705,-34164.855,-21136.005,0.0,0.0,0.0,0.0,1
-42443.46,33189.39,-34171.965,-21145.32,0.0,0.0,0.0,0.0,1
-42456.33,33196.23,-34170.21,-21139.605,0.0,0.0,0.0,0.0,1
-42458.265,33199.515,-34175.07,-21141.72,0.0,0.0,0.0,0.0,1
-42400.53,33203.295,-34175.925,-21157.83,0.0,0.0,0.0,0.0,1
-42374.34,33200.595,-34174.17,-21167.505,0.0,0.0,0.0,0.0,1
-42397.785,33200.19,-34168.59,-21163.95,0.0,0.0,0.0,0.0,1
-42434.01,33203.025,-34177.95,-21163.05,0.0,0.0,0.0,0.0,1
-42438.465,33208.83,-34197.705,-21183.12,0.0,0.0,0.0,0.0,1
-42430.005,33214.095,-34197.39,-21180.195,0.0,0.0,0.0,0.0,1
-42433.38,33220.485,-34204.095,-21180.42,0.0,0.0,0.0,0.0,1
-42435.765,33231.78,-34202.52,-21178.665,0.0,0.0,0.0,0.0,1
-42434.505,33240.78,-34215.57,-21185.775,0.0,0.0,0.0,0.0,1
-42429.915,33241.905,-34210.08,-21186.09,0.0,0.0,0.0,0.0,1
-42441.705,33235.695,-34197.57,-21183.705,0.0,0.0,0.0,0.0,1
-42454.215,33219.72,-34190.46,-21177.945,0.0,0.0,0.0,0.0,1
-42437.07,33207.345,-34186.95,-21179.205,0.0,0.0,0.0,0.0,1
-42436.89,33202.035,-34204.815,-21185.37,0.0,0.0,0.0,0.0,1
-42453.855,33198.255,-34212.645,-21188.07,0.0,0.0,0.0,0.0,1
-42460.695,33192.855,-34208.01,-21183.75,0.0,0.0,0.0,0.0,1
-42471.315,33187.995,-34205.805,-21179.88,0.0,0.0,0.0,0.0,1
-42470.91,33183.225,-34210.305,-21185.19,0.0,0.0,0.0,0.0,1
-42465.555,33182.28,-34204.77,-21183.795,0.0,0.0,0.0,0.0,1
-42463.845,33181.02,-34207.56,-21187.17,0.0,0.0,0.0,0.0,1
-42463.215,33181.515,-34207.515,-21186.405,0.0,0.0,0.0,0.0,1
-42469.29,33175.035,-34208.505,-21183.48,0.0,0.0,0.0,0.0,1
-42454.215,33174.675,-34200.72,-21181.455,0.0,0.0,0.0,0.0,1
-42450.39,33176.925,-34202.295,-21183.255,0.0,0.0,0.0,0.0,1
-42470.145,33177.87,-34207.875,-21185.28,0.0,0.0,0.0,0.0,1
-42471.72,33178.32,-34217.19,-21189.015,0.0,0.0,0.0,0.0,1
-42481.17,33179.265,-34220.115,-21187.845,0.0,0.0,0.0,0.0,1
-42481.35,33179.535,-34215.93,-21186.9,0.0,0.0,0.0,0.0,1
-42454.935,33180.705,-34195.41,-21183.165,0.0,0.0,0.0,0.0,1
-42470.865,33178.77,-34204.365,-21192.21,0.0,0.0,0.0,0.0,1
-42489.72,33177.33,-34217.055,-21190.005,0.0,0.0,0.0,0.0,1
-42482.205,33182.82,-34210.485,-21187.71,0.0,0.0,0.0,0.0,1
-42476.49,33183.855,-34220.115,-21191.94,0.0,0.0,0.0,0.0,1
-42473.88,33181.83,-34220.025,-21188.655,0.0,0.0,0.0,0.0,1
-42488.055,33180.885,-34209.945,-21186.27,0.0,0.0,0.0,0.0,1
-42485.625,33180.795,-34210.17,-21186.855,0.0,0.0,0.0,0.0,1
-42462.99,33181.335,-34221.33,-21193.515,0.0,0.0,0.0,0.0,1
-42444.675,33183.09,-34213.545,-21194.325,0.0,0.0,0.0,0.0,1
-42446.745,33180.525,-34207.245,-21187.395,0.0,0.0,0.0,0.0,1
-42444.315,33177.06,-34204.455,-21180.915,0.0,0.0,0.0,0.0,1
-42446.25,33175.08,-34207.065,-21173.265,0.0,0.0,0.0,0.0,1
-42455.295,33167.52,-34180.74,-21137.445,0.0,0.0,0.0,0.0,1
-42471.405,33162.03,-34178.265,-21154.815,0.0,0.0,0.0,0.0,1
-42501.24,33154.47,-34228.44,-21216.015,0.0,0.0,0.0,0.0,1
-42494.085,33157.62,-34227.63,-21209.895,0.0,0.0,0.0,0.0,1
-42459.75,33158.295,-34207.335,-21193.605,0.0,0.0,0.0,0.0,1
-42446.835,33156.945,-34208.955,-21197.925,0.0,0.0,0.0,0.0,1
-42455.745,33157.035,-34210.125,-21193.515,0.0,0.0,0.0,0.0,1
-42464.34,33158.7,-34190.82,-21174.165,0.0,0.0,0.0,0.0,1
-42458.94,33160.005,-34181.505,-21169.35,0.0,0.0,0.0,0.0,1
-42456.69,33158.835,-34193.745,-21176.73,0.0,0.0,0.0,0.0,1
-42461.28,33151.095,-34210.755,-21189.24,0.0,0.0,0.0,0.0,1
-42469.65,33146.145,-34220.205,-21190.095,0.0,0.0,0.0,0.0,1
-42472.08,33146.19,-34221.87,-21192.525,0.0,0.0,0.0,0.0,1
-42477.12,33147.45,-34207.605,-21184.155,0.0,0.0,0.0,0.0,1
-42443.505,33147.675,-34174.395,-21166.065,0.0,0.0,0.0,0.0,1
-42438.555,33148.89,-34171.695,-21164.22,0.0,0.0,0.0,0.0,1
-42441.84,33149.745,-34186.59,-21170.565,0.0,0.0,0.0,0.0,1
-42437.97,33149.16,-34191.99,-21172.86,0.0,0.0,0.0,0.0,1
-42472.53,33144.48,-34205.04,-21178.89,0.0,0.0,0.0,0.0,1
-42503.265,33143.13,-34212.375,-21183.12,0.0,0.0,0.0,0.0,1
-42494.13,33135.795,-34217.865,-21183.57,0.0,0.0,0.0,0.0,1
-42482.79,33132.06,-34215.255,-21184.155,0.0,0.0,0.0,0.0,1
-42477.48,33129.63,-34205.265,-21184.605,0.0,0.0,0.0,0.0,1
-42481.215,33128.28,-34200.855,-21185.19,0.0,0.0,0.0,0.0,1
-42456.69,33127.065,-34208.955,-21190.14,0.0,0.0,0.0,0.0,1
-42440.58,33125.985,-34190.01,-21178.665,0.0,0.0,0.0,0.0,1
-42463.53,33123.51,-34196.76,-21178.98,0.0,0.0,0.0,0.0,1
-42450.075,33124.635,-34195.005,-21180.735,0.0,0.0,0.0,0.0,1
-42455.115,33124.275,-34196.355,-21175.065,0.0,0.0,0.0,0.0,1
-42465.015,33121.71,-34182.045,-21162.735,0.0,0.0,0.0,0.0,1
-42446.52,33113.97,-34182.405,-21165.93,0.0,0.0,0.0,0.0,1
-42434.325,33112.755,-34188.84,-21175.245,0.0,0.0,0.0,0.0,1
-42435.18,33112.35,-34190.55,-21177.855,0.0,0.0,0.0,0.0,1
-42450.345,33110.415,-34189.515,-21174.03,0.0,0.0,0.0,0.0,1
-42458.445,33106.77,-34188.39,-21168.18,0.0,0.0,0.0,0.0,1
-42481.98,33106.905,-34195.5,-21164.355,0.0,0.0,0.0,0.0,1
-42508.17,33108.345,-34208.775,-21170.52,0.0,0.0,0.0,0.0,1
-42422.265,33112.395,-34166.115,-21164.895,0.0,0.0,0.0,0.0,1
-42396.39,33110.955,-34164.36,-21166.2,0.0,0.0,0.0,0.0,1
-42410.79,33108.75,-34174.17,-21163.815,0.0,0.0,0.0,0.0,1
-42415.83,33101.955,-34176.69,-21164.85,0.0,0.0,0.0,0.0,1
-42428.07,33098.76,-34183.395,-21169.35,0.0,0.0,0.0,0.0,1
-42447.015,33096.24,-34182.045,-21168.45,0.0,0.0,0.0,0.0,1
-42453.855,33096.105,-34184.79,-21170.88,0.0,0.0,0.0,0.0,1
-42463.62,33097.095,-34187.4,-21169.26,0.0,0.0,0.0,0.0,1
-42472.215,33098.805,-34191.855,-21167.73,0.0,0.0,0.0,0.0,1
-42454.53,33098.76,-34200.0,-21175.155,0.0,0.0,0.0,0.0,1
-42445.935,33100.74,-34177.23,-21164.895,0.0,0.0,0.0,0.0,1
-42443.73,33099.48,-34183.53,-21163.905,0.0,0.0,0.0,0.0,1
-42443.955,33099.345,-34179.615,-21156.93,0.0,0.0,0.0,0.0,1
-42437.835,33095.34,-34170.435,-21156.705,0.0,0.0,0.0,0.0,1
-42431.67,33096.375,-34157.79,-21152.7,0.0,0.0,0.0,0.0,1
-42437.565,33097.14,-34174.17,-21160.665,0.0,0.0,0.0,0.0,1
-42440.76,33097.68,-34177.365,-21158.055,0.0,0.0,0.0,0.0,1
-42459.57,33095.385,-34179.75,-21156.345,0.0,0.0,0.0,0.0,1
-42450.075,33091.695,-34175.205,-21161.7,0.0,0.0,0.0,0.0,1
-42414.795,33090.48,-34170.705,-21161.25,0.0,0.0,0.0,0.0,1
-42398.055,33093.36,-34151.175,-21150.045,0.0,0.0,0.0,0.0,1
-42393.69,33093.9,-34161.165,-21161.16,0.0,0.0,0.0,0.0,1
-42433.38,33093.09,-34191.09,-21181.455,0.0,0.0,0.0,0.0,1
-42458.265,33087.735,-34188.885,-21181.815,0.0,0.0,0.0,0.0,1
-42444.9,33088.905,-34175.385,-21171.24,0.0,0.0,0.0,0.0,1
