FilteredChannel1,FilteredChannel2,FilteredChannel3,FilteredChannel4
-0.627355,-0.796123,-0.858280,-0.704609
0.527669,0.745191,0.805375,0.588981
0.095654,0.206614,0.570827,0.639398
-0.454179,-0.742894,-1.196028,-1.217526
0.021160,0.113271,0.565510,0.254147
0.568592,0.636258,0.378921,0.938506
-0.271390,-0.394536,-0.744993,-0.863133
-0.408460,-0.333378,0.033484,-0.047850
0.021614,-0.286406,-0.364721,-0.495212
0.263038,0.492372,0.434310,0.664659
-0.247701,-0.000586,0.080917,0.131669
0.160159,0.191359,0.289305,0.098913
-0.256617,-0.623651,-0.600214,-0.505531
1.009325,1.372584,1.589237,1.323362
0.054087,0.001050,-0.910599,-0.547589
-0.374930,-0.401243,0.354477,0.098876
-0.242330,-0.319231,-0.546894,-0.517988
-0.441609,-0.292306,-0.245250,-0.010659
-0.060978,0.371627,0.887189,0.614310
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
